"","      V1","         V2","      V3","         V4","         V5","      V6","             V7","      V8","      V9","                    V10","     V11","                                 V12","     V13","     V14","V15","     V16","     V17","             V18","                                                    V19","     V20","     V21","                              V22","  V23","     V24","     V25","     V26","     V27","     V28","     V29","     V30","     V31","     V32","     V33","     V34","     V35","  V36","     V37","     V38","       V39","  V40","            V41","            V42","         V43","  V44","  V45","     V46","     V47","     V48","                 V49","                 V50","     V51","     V52","  V53","    V54","     V55","  V56","     V57","     V58","     V59","     V60","  V61","     V62","  V63","  V64","        V65","     V66","  V67","  V68","     V69","     V70","     V71","     V72","                 V73"
"","Min.   :1629733  ","2018-05-03: 28  ","2018-03: 22  ","          :225  ","          :406  ","Min.   :1.000  ","Aprovado      :340  ","Min.   : 0.00  ","desktop:385  ","                      :127  ","Min.   :   3633  ","TESTE MADEIRAMADEIRA               : 19  ","Min.   :3.037e+07  ","Min.   : 1050070  ","F:569  ","Min.   :0.000000  ","SP     :264  ","São Paulo     :137  ","São Paulo (capital e regiäes metropolitanas)-409    :210  ","Min.   : 6.00  ","Min.   :  0.0  ","Boleto                          :177  ","Mode:logical  ","Min.   : 1.000  ","Min.   :0.00000  ","Min.   :    5.98  ","Min.   :   0.00  ","Min.   :    0.0  ","Min.   :    0.0  ","Min.   :    0.0  ","Min.   :   1.99  ","Min.   :   1.99  ","Min.   :0  ","Min.   :    6.24  ","Min.   :-1314.610  ","Mode:logical  ","Min.   :   0.00  ","Min.   :   0.00  ","         :566  ","Mode:logical  ","MadeiraMadeira:579  ","MadeiraMadeira:579  ","direto     :254  ","Mode:logical  ","Mode:logical  ","Min.   :  3.00  ","Min.   :1629732  ","Min.   :   0.0  ","2018-04-09 12:06:40: 10  ","2018-05-10 13:21:15: 24  ","Min.   :1629733  ","Min.   :1000073  ","Mode:logical  ","deskto:385  ","Min.   :0  ","Mode:logical  ","Min.   :    0.0  ","Min.   :0  ","Min.   : 1.000  ","Min.   :0  ","Mode:logical  ","Min.   :0  ","Mode:logical  ","Mode:logical  ","2018-05-03: 28  ","2018-03: 22  ","Mode:logical  ","Mode:logical  ","Min.   :    0.0  ","Min.   :   1.99  ","Min.   :0  ","Min.   :0  ","2018-05-03 11:47:05:  9  "
"","1st Qu.:1757915  ","2018-04-02: 25  ","2018-04:288  ","2018-05-03: 22  ","2018-05-03: 20  ","1st Qu.:3.000  ","Cancelado     :173  ","1st Qu.:69.00  ","mobile :194  ","Enviado Protheus      :340  ","1st Qu.:1690470  ","teste mktplcgringo                 : 14  ","1st Qu.:5.906e+09  ","1st Qu.: 7145025  ","J: 10  ","1st Qu.:0.000000  ","RJ     :108  ","Rio de Janeiro : 59  ","Rio de Janeiro (capital e regiäes metropolitanas)-396: 78  ","1st Qu.: 7.00  ","1st Qu.:  0.0  ","Cartão de crédito - Amex      : 18  ","NA's:579      ","1st Qu.: 1.000  ","1st Qu.:0.00000  ","1st Qu.:  502.07  ","1st Qu.:   0.00  ","1st Qu.:  144.9  ","1st Qu.:  144.9  ","1st Qu.:  144.9  ","1st Qu.:  33.95  ","1st Qu.:  33.95  ","1st Qu.:0  ","1st Qu.:  202.96  ","1st Qu.:    0.000  ","NA's:579      ","1st Qu.:   0.00  ","1st Qu.:   0.00  ","PFCALL2  :  3  ","NA's:579      ",NA,NA,"F012       : 15  ","NA's:579      ","NA's:579      ","1st Qu.:  7.00  ","1st Qu.:1757914  ","1st Qu.:   0.0  ","2018-04-11 07:40:03: 10  ","2018-05-10 13:21:01: 20  ","1st Qu.:1757915  ","1st Qu.:1000264  ","NA's:579      ","mobile:194  ","1st Qu.:0  ","NA's:579      ","1st Qu.:  119.9  ","1st Qu.:0  ","1st Qu.: 1.000  ","1st Qu.:0  ","NA's:579      ","1st Qu.:0  ","NA's:579      ","NA's:579      ","2018-04-02: 25  ","2018-04:288  ","NA's:579      ","NA's:579      ","1st Qu.:  119.9  ","1st Qu.:  24.61  ","1st Qu.:0  ","1st Qu.:0  ","2018-05-14 23:28:02:  8  "
"","Median :1806367  ","2018-05-02: 23  ","2018-05:269  ","2018-05-02: 20  ","2018-05-07: 15  ","Median :3.000  ","Em aprovação:  7  ","Median :81.00  ",NA,"Não efetuou pagamento: 68  ","Median :1778361  ","Marcelo m sntos                    :  9  ","Median :1.844e+10  ","Median :22620171  ",NA,"Median :0.000000  ","PR     : 67  ","Curitiba       : 46  ","Paraná  (capital e regiäes metropolitanas)-359     : 50  ","Median : 7.00  ","Median :603.0  ","Cartão de crédito - Elo       : 23  ",NA,"Median : 3.000  ","Median :0.00000  ","Median :  963.45  ","Median :   0.00  ","Median :  569.0  ","Median :  569.0  ","Median :  569.0  ","Median :  72.42  ","Median :  72.42  ","Median :0  ","Median :  692.24  ","Median :    0.000  ",NA,"Median :   0.00  ","Median :   0.00  ","VT1346320:  2  ",NA,NA,NA,"TA06       : 14  ",NA,NA,"Median : 13.00  ","Median :1806366  ","Median :   0.0  ","2018-04-17 07:40:23:  9  ","2018-05-10 13:22:48: 15  ","Median :1806367  ","Median :1007499  ",NA,NA,"Median :0  ",NA,"Median :  480.0  ","Median :0  ","Median : 1.000  ","Median :0  ",NA,"Median :0  ",NA,NA,"2018-05-02: 23  ","2018-05:269  ",NA,NA,"Median :  480.0  ","Median :  60.41  ","Median :0  ","Median :0  ","2018-04-10 17:57:57:  4  "
"","Mean   :1797358  ","2018-03-27: 22  ",NA,"2018-04-29: 18  ","2018-04-09: 14  ","Mean   :3.979  ","Novo          : 59  ","Mean   :61.17  ",NA,"Pedido de teste       : 16  ","Mean   :1547471  ","RESIDENCIAL DOLCE VITA             :  9  ","Mean   :4.047e+11  ","Mean   :34741432  ",NA,"Mean   :0.001727  ","MG     : 40  ","Belo Horizonte : 12  ","São Paulo (interior)-410                             : 44  ","Mean   :15.23  ","Mean   :420.6  ","Cartão de crédito - Hipercard :  8  ",NA,"Mean   : 4.318  ","Mean   :0.09499  ","Mean   : 1902.52  ","Mean   :  26.22  ","Mean   :  665.7  ","Mean   :  665.7  ","Mean   :  665.7  ","Mean   :  96.78  ","Mean   :  96.78  ","Mean   :0  ","Mean   :  771.82  ","Mean   :    1.307  ",NA,"Mean   :  11.07  ","Mean   :  10.35  ","O23KJ    :  1  ",NA,NA,NA,"           : 13  ",NA,NA,"Mean   : 14.51  ","Mean   :1797357  ","Mean   :  10.6  ","2018-05-03 13:35:44:  9  ","2018-05-10 13:22:34: 10  ","Mean   :1797358  ","Mean   :1005547  ",NA,NA,"Mean   :0  ",NA,"Mean   :  636.0  ","Mean   :0  ","Mean   : 1.221  ","Mean   :0  ",NA,"Mean   :0  ",NA,NA,"2018-03-27: 22  ",NA,NA,NA,"Mean   :  636.0  ","Mean   :  87.14  ","Mean   :0  ","Mean   :0  ","2018-04-14 08:56:31:  4  "
"","3rd Qu.:1854507  ","2018-05-10: 22  ",NA,"2018-05-14: 18  ","2018-05-15: 13  ","3rd Qu.:7.000  ",NA,"3rd Qu.:81.00  ",NA,"Pedido suspeito       : 26  ","3rd Qu.:1814314  ","GLAUBERSON   TEIXEIRA PERES  ALONSO:  8  ","3rd Qu.:3.811e+10  ","3rd Qu.:71538497  ",NA,"3rd Qu.:0.000000  ","RS     : 27  ","Mogi das Cruzes: 12  ","Minas Gerais (capital e regiäes metropolitanas)-374  : 18  ","3rd Qu.:29.00  ","3rd Qu.:609.0  ","Cartão de crédito - Mastercard:223  ",NA,"3rd Qu.: 9.000  ","3rd Qu.:0.00000  ","3rd Qu.: 1599.54  ","3rd Qu.:   0.00  ","3rd Qu.:  899.0  ","3rd Qu.:  899.0  ","3rd Qu.:  899.0  ","3rd Qu.: 135.56  ","3rd Qu.: 135.56  ","3rd Qu.:0  ","3rd Qu.:  989.00  ","3rd Qu.:    0.000  ",NA,"3rd Qu.:   0.00  ","3rd Qu.:   0.00  ","pfcall2  :  1  ",NA,NA,NA,"pla-1008977: 10  ",NA,NA,"3rd Qu.: 18.00  ","3rd Qu.:1854506  ","3rd Qu.:   0.0  ","2018-04-04 07:30:20:  8  ","2018-05-10 13:22:37: 10  ","3rd Qu.:1854507  ","3rd Qu.:1009059  ",NA,NA,"3rd Qu.:0  ",NA,"3rd Qu.:  899.0  ","3rd Qu.:0  ","3rd Qu.: 1.000  ","3rd Qu.:0  ",NA,"3rd Qu.:0  ",NA,NA,"2018-05-10: 22  ",NA,NA,NA,"3rd Qu.:  899.0  ","3rd Qu.: 109.00  ","3rd Qu.:0  ","3rd Qu.:0  ","2018-04-29 00:52:42:  4  "
"","Max.   :1911138  ","2018-04-26: 21  ",NA,"2018-05-10: 14  ","2018-05-04: 11  ","Max.   :7.000  ",NA,"Max.   :81.00  ",NA,"Vai comprar depois    :  2  ","Max.   :1861606  ","Amadeu da Costa Ribeiro            :  4  ","Max.   :2.204e+13  ","Max.   :99040120  ",NA,"Max.   :1.000000  ","SC     : 23  ","Cabo Frio      : 10  ","Minas Gerais (interior II)-439                        : 15  ","Max.   :43.00  ","Max.   :612.0  ","Cartão de crédito - Visa      :130  ",NA,"Max.   :12.000  ","Max.   :9.00000  ","Max.   :34251.56  ","Max.   :2989.04  ","Max.   :29000.0  ","Max.   :29000.0  ","Max.   :29000.0  ","Max.   :1152.00  ","Max.   :1152.00  ","Max.   :0  ","Max.   :29080.00  ","Max.   : 3897.260  ",NA,"Max.   :1353.51  ","Max.   :1353.51  ","VT1546733:  1  ",NA,NA,NA,"zanox      :  9  ",NA,NA,"Max.   :116.00  ","Max.   :1911136  ","Max.   :3897.3  ","2018-05-07 07:40:24:  8  ","2018-05-16 02:08:15: 10  ","Max.   :1911138  ","Max.   :1013756  ",NA,NA,"Max.   :0  ",NA,"Max.   :29000.0  ","Max.   :0  ","Max.   :12.000  ","Max.   :0  ",NA,"Max.   :0  ",NA,NA,"2018-04-26: 21  ",NA,NA,NA,"Max.   :29000.0  ","Max.   :1152.00  ","Max.   :0  ","Max.   :0  ","2018-05-01 23:10:40:  4  "
"",NA,"(Other)   :438  ",NA,"(Other)   :262  ","(Other)   :100  ",NA,NA,NA,NA,NA,NA,"(Other)                            :516  ",NA,NA,NA,NA,"(Other): 50  ","(Other)        :303  ","(Other)                                               :164  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Other)  :  5  ",NA,NA,NA,"(Other)    :264  ",NA,NA,NA,NA,NA,"(Other)            :525  ","(Other)            :490  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Other)   :438  ",NA,NA,NA,NA,NA,NA,NA,"(Other)            :546  "
